year,make,model,trim,body,transmission,vin,branch,condition,odometer,color,interior,seller,marketprice,sellingprice,saledate
2014,Kia,Forte,LX,Sedan,automatic,knafx4a68e5094118,BALIKPAPAN,37.0,37691.0,red,black,avis corporation,246175000.0,247250000.0,Fri Jan 09 2019 10:00:00 GMT-0800 (PST)
2008,Honda,Accord,EX-L,Sedan,automatic,1hgcp26838a041683,JAKARTA,31.0,54072.0,white,tan,chrysler capital,224675000.0,232200000.0,Wed Jan 14 2019 01:30:00 GMT-0800 (PST)
2012,MINI,Cooper Countryman,S ALL4,Wagon,,wmwzc5c57cwl56530,MEDAN,39.0,42556.0,green,—,bmw mini financial services,434300000.0,337550000.0,Thu Feb 19 2018 01:00:00 GMT-0800 (PST)
2014,Ford,Fusion,SE,Sedan,automatic,3fa6p0h77er301594,JAKARTA,43.0,30513.0,silver,black,avis corporation,290250000.0,285950000.0,Fri May 22 2018 05:00:00 GMT-0700 (PDT)
2002,Buick,LeSabre,Custom,Sedan,automatic,1g4hp54kx24235388,BALIKPAPAN,27.0,59808.0,silver,gray,wheels exchange llc,56975000.0,53750000.0,Tue Jan 27 2019 16:00:00 GMT-0800 (PST)
2008,Chevrolet,Silverado 1500,Work Truck,Crew Cab,automatic,3gcek13328g174929,BALIKPAPAN,28.0,125400.0,red,tan,remarketing by ge/suntrust bank,318200000.0,277350000.0,Thu Jan 29 2018 02:45:00 GMT-0800 (PST)
2014,Dodge,Charger,SE,Sedan,automatic,2c3cdxbg9eh342560,JAKARTA,45.0,8977.0,silver,black,chrysler capital,393450000.0,408500000.0,Tue Mar 10 2018 02:30:00 GMT-0700 (PDT)
2014,Kia,Forte,LX,Sedan,automatic,knafx4a69e5097318,BALIKPAPAN,25.0,32232.0,blue,black,avis corporation,249400000.0,223600000.0,Wed Feb 11 2019 02:45:00 GMT-0800 (PST)
2013,Toyota,Camry,LE,sedan,automatic,4t1bf1fk0du689764,BALIKPAPAN,5.0,26100.0,blue,beige,universal nissan,280575000.0,279500000.0,Tue Jun 16 2019 02:15:00 GMT-0700 (PDT)
2011,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv5bw086537,SURABAYA,36.0,37890.0,gold,tan,world omni financial corporation,309600000.0,290250000.0,Tue Jan 20 2018 01:30:00 GMT-0800 (PST)
2010,Audi,Q7,3.6 Premium quattro,suv,automatic,wa1vyafe4ad002667,JAKARTA,37.0,45690.0,gray,black,flag/genuine motorcars inc,647150000.0,662200000.0,Wed May 27 2018 03:00:00 GMT-0700 (PDT)
2005,Chevrolet,Classic,Fleet,Sedan,automatic,1g1nd52f25m126748,BALIKPAPAN,34.0,94196.0,silver,gray,rick hendrick chevrolet,52137500.0,60200000.0,Tue Jan 20 2018 02:00:00 GMT-0800 (PST)
2013,Mercedes-Benz,C-Class,C250,Coupe,automatic,wddgj4hb7df954441,BALIKPAPAN,32.0,30153.0,—,black,mercedes-benz financial services,505250000.0,489125000.0,Thu Feb 12 2018 04:30:00 GMT-0800 (PST)
2007,Ford,Ranger,XLT,SuperCab,automatic,1ftzr14u87pa59122,SURABAYA,21.0,156954.0,white,gray,lbs financial credit union,55362500.0,90300000.0,Wed Jan 07 2019 12:30:00 GMT-0800 (PST)
2008,Ford,Expedition EL,Limited,suv,,1fmfk20598la41017,SURABAYA,37.0,82138.0,black,black,salerno duane infiniti llc,385925000.0,382700000.0,Fri Jun 19 2018 02:15:00 GMT-0700 (PDT)
2012,Nissan,Sentra,2.0 SR,Sedan,,3n1ab6ap4cl694375,MEDAN,34.0,86436.0,white,black,nissan-infiniti lt,176300000.0,176300000.0,Thu Feb 26 2018 02:00:00 GMT-0800 (PST)
2007,BMW,M5,Base,Sedan,manual,wbsnb93527cx07954,JAKARTA,44.0,63773.0,black,black,bmw of mount laurel,498800000.0,607375000.0,Wed Feb 18 2018 01:30:00 GMT-0800 (PST)
2002,Chevrolet,Tahoe,LS,SUV,automatic,1gnek13z02r275096,JAKARTA,2.0,274265.0,black,gray,titlemax/riverdale ga2,38162500.0,38700000.0,Thu Jan 15 2019 04:30:00 GMT-0800 (PST)
2009,Lincoln,MKS,Base,Sedan,automatic,1lnhm94r79g608215,BALIKPAPAN,19.0,109265.0,blue,tan,texas rv outlet superstore,205325000.0,199950000.0,Wed Feb 11 2019 02:20:00 GMT-0800 (PST)
2011,Ford,F-150,Lariat,SuperCrew,automatic,1ftfw1etxbfc99269,JAKARTA,46.0,35782.0,white,black,ford motor credit company llc,623500000.0,666500000.0,Wed May 27 2018 02:00:00 GMT-0700 (PDT)
1999,Ford,Explorer,XLS,SUV,automatic,1fmzu32x4xzb10140,SURABAYA,2.0,211765.0,blue,—,tiger financial management llc,11825000.0,6450000.0,Wed Dec 31 2018 11:00:00 GMT-0800 (PST)
2013,Kia,Optima,LX,Sedan,automatic,5xxgm4a78dg130019,BALIKPAPAN,49.0,53593.0,black,tan,the hertz corporation,255850000.0,262300000.0,Wed Feb 04 2019 02:05:00 GMT-0800 (PST)
2014,Chevrolet,Impala,LT,Sedan,automatic,2g1125s3xe9263735,SURABAYA,4.0,27526.0,gray,black,gm remarketing,399900000.0,414950000.0,Tue Jan 20 2019 01:30:00 GMT-0800 (PST)
2000,Chevrolet,Monte Carlo,LS,Coupe,automatic,2g1ww12e9y9210758,JAKARTA,19.0,70565.0,black,gray,onemain remarketing services,60737500.0,34400000.0,Tue Feb 10 2018 01:30:00 GMT-0800 (PST)
2013,Ford,Fiesta,S,Hatchback,automatic,3fadp4tj6dm184572,BALIKPAPAN,49.0,7799.0,black,gray,bobby rahal motorcar company,216075000.0,225750000.0,Wed Jan 14 2019 01:00:00 GMT-0800 (PST)
2013,Toyota,Prius,Two,hatchback,,jtdkn3du6d1622515,BALIKPAPAN,32.0,53321.0,gray,gray,the hertz corporation,242950000.0,245100000.0,Fri Jun 05 2019 02:00:00 GMT-0700 (PDT)
2015,Dodge,Grand Caravan,SXT,minivan,automatic,2c4rdgcgxfr533016,JAKARTA,3.0,12018.0,gray,black,fca us/hertz/pv holding,411725000.0,406350000.0,Thu Jun 18 2019 04:00:00 GMT-0700 (PDT)
2008,Lexus,LS 460,Base,Sedan,automatic,jthbl46fx85058651,JAKARTA,28.0,190873.0,black,tan,hendrick lexus charleston,285950000.0,305300000.0,Tue Feb 24 2019 02:00:00 GMT-0800 (PST)
2014,Chevrolet,Impala,LT,Sedan,automatic,2g1125s35e9244011,JAKARTA,4.0,21317.0,black,gray,gm remarketing,422475000.0,455800000.0,Thu Mar 05 2019 01:30:00 GMT-0800 (PST)
2013,Hyundai,Elantra,GLS,Sedan,,5npdh4aexdh295385,MEDAN,46.0,23999.0,silver,gray,hyundai motor finance,240800000.0,245100000.0,Fri Jun 19 2018 02:00:00 GMT-0700 (PDT)
2007,Honda,Accord,Value Package,Sedan,manual,1hgcm55167a122609,JAKARTA,35.0,111657.0,silver,gray,manheim georgia,128462500.0,144050000.0,Tue May 26 2018 02:30:00 GMT-0700 (PDT)
2013,Chrysler,200,LX,Sedan,automatic,1c3ccbab5dn734033,MEDAN,,33530.0,black,black,mid city mcandrew motors,236500000.0,232200000.0,Thu Dec 18 2018 11:00:00 GMT-0800 (PST)
2014,Kia,Sorento,LX,SUV,automatic,5xykt3a69eg499967,MEDAN,38.0,44255.0,burgundy,black,avis corporation,323575000.0,318200000.0,Thu May 21 2018 02:15:00 GMT-0700 (PDT)
2009,Subaru,Forester,2.5X Limited,SUV,automatic,jf2sh64659h710613,BALIKPAPAN,35.0,50092.0,silver,black,bourne enterprises,319275000.0,298850000.0,Tue Jan 13 2018 09:30:00 GMT-0800 (PST)
2013,Mercedes-Benz,E-Class,E350 Sport,Sedan,automatic,wddhf5kb3da739494,JAKARTA,35.0,33860.0,gray,black,the hertz corporation,582650000.0,524600000.0,Tue Jun 02 2019 05:00:00 GMT-0700 (PDT)
2008,Honda,Element,LX,SUV,automatic,5j6yh18358l016800,BALIKPAPAN,34.0,116760.0,red,gray,jimmie johnson kearny mesa chevrolet,153187500.0,141900000.0,Tue Jan 20 2018 04:30:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,automatic,5xyktca65fg559485,JAKARTA,5.0,13340.0,brown,gray,kia motors america  inc,453650000.0,447200000.0,Tue Jan 06 2019 01:30:00 GMT-0800 (PST)
2012,Dodge,Challenger,SXT,Coupe,automatic,2c3cdyag7ch158254,SURABAYA,19.0,71613.0,black,black,capital one auto finance,305300000.0,172000000.0,Wed Jan 14 2018 02:00:00 GMT-0800 (PST)
2008,Mercedes-Benz,R-Class,R350 4MATIC,wagon,automatic,4jgcb65e38a082662,JAKARTA,3.0,82564.0,blue,tan,east bay bmw,236500000.0,260150000.0,Wed Jun 17 2018 05:30:00 GMT-0700 (PDT)
2009,Honda,Civic,LX,Coupe,automatic,2hgfg12609h501235,MEDAN,32.0,69568.0,blue,gray,credit acceptance corp/vrs/southfield,159637500.0,152650000.0,Thu Feb 12 2018 03:00:00 GMT-0800 (PST)
2006,Chevrolet,Malibu,LT,sedan,automatic,1g1zt53f06f278469,MEDAN,48.0,89327.0,green,tan,dt credit corporation,74712500.0,77400000.0,Fri Jun 12 2018 05:00:00 GMT-0700 (PDT)
2001,Mazda,Tribute,DX-V6,SUV,automatic,4f2yu06131km46222,SURABAYA,27.0,129741.0,black,gray,primeritus remarketing / chesterfield impor,50525000.0,53750000.0,Mon Feb 23 2018 01:30:00 GMT-0800 (PST)
1999,Subaru,Legacy,Outback,Wagon,,4s3bg6851x7612104,JAKARTA,,63892.0,green,—,kimble's auto sales inc,55362500.0,13975000.0,Thu Dec 18 2019 09:50:00 GMT-0800 (PST)
2000,Mercedes-Benz,E-Class,E320,Wagon,automatic,wdbjh65j3yb053694,MEDAN,19.0,95091.0,white,beige,mercedes-benz of coconut creek,61812500.0,51600000.0,Tue Jan 20 2018 10:00:00 GMT-0800 (PST)
2013,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1ef3dfc06721,SURABAYA,44.0,19397.0,white,gray,wheat country motors,561150000.0,576200000.0,Wed Feb 04 2019 03:45:00 GMT-0800 (PST)
2014,Kia,Rio,LX,Sedan,,knadm4a37e6362382,MEDAN,49.0,8755.0,black,gray,kia motors america  inc,261225000.0,258000000.0,Thu Jan 08 2019 02:00:00 GMT-0800 (PST)
2011,Ford,Edge,SEL,SUV,automatic,2fmdk3jc3bbb64359,JAKARTA,41.0,48610.0,gray,black,ford motor credit company llc,374100000.0,356900000.0,Wed Jan 07 2018 09:00:00 GMT-0800 (PST)
2014,Infiniti,Q60 Coupe,Journey,Q60 Coupe,automatic,jn1cv6ek0em113171,MEDAN,46.0,12496.0,gray,black,nissan north america inc.,597700000.0,671875000.0,Thu Jun 04 2018 05:30:00 GMT-0700 (PDT)
2004,mazda,rx8,,,automatic,jm1fe17nx40137925,SURABAYA,27.0,175655.0,red,black,lon motors,41387500.0,49450000.0,Wed Jan 07 2018 11:30:00 GMT-0800 (PST)
2014,Mitsubishi,Outlander,GT,SUV,automatic,ja4jz4ax9ez019804,JAKARTA,48.0,19401.0,silver,black,mitsubishi north america,483750000.0,494500000.0,Wed Feb 11 2019 02:30:00 GMT-0800 (PST)
2010,Lexus,GX 460,Base,SUV,automatic,jtjbm7fxxa5003127,MEDAN,35.0,32067.0,black,black,honda of ocala,735300000.0,705200000.0,Tue Jan 20 2018 01:30:00 GMT-0800 (PST)
2001,Buick,LeSabre,Custom,Sedan,automatic,1g4hp54k314282101,MEDAN,2.0,65576.0,beige,tan,remarketing by ge/classic motorcars inc,54825000.0,60200000.0,Thu Mar 05 2019 02:00:00 GMT-0800 (PST)
2014,Ford,Fusion,SE,Sedan,automatic,3fa6p0h76er318628,JAKARTA,43.0,10131.0,silver,—,lease plan usa,316050000.0,303150000.0,Tue May 26 2019 05:00:00 GMT-0700 (PDT)
2005,Pontiac,Grand Prix,Base,Sedan,automatic,2g2wp522751196830,BALIKPAPAN,21.0,157489.0,red,beige,dt inventory,54287500.0,51600000.0,Tue Feb 17 2018 03:00:00 GMT-0800 (PST)
2012,Chevrolet,Silverado 1500,LT,crew cab,automatic,1gcpkse76cf227026,SURABAYA,4.0,37131.0,white,black,remarketing by ge/npps inc,584800000.0,589100000.0,Wed Jun 17 2018 06:30:00 GMT-0700 (PDT)
2013,Nissan,Altima,2.5,sedan,,1n4al3ap3dc271931,JAKARTA,36.0,13576.0,red,beige,jim ellis,319275000.0,333250000.0,Thu May 28 2019 03:00:00 GMT-0700 (PDT)
2008,Volkswagen,Eos,Komfort,Convertible,,wvwba71f78v054492,JAKARTA,37.0,34005.0,silver,gray,remarketing by ge/manheim pennsylvania,254775000.0,238650000.0,Fri May 22 2018 02:00:00 GMT-0700 (PDT)
2006,,,,,,salme15436a215825,MEDAN,35.0,145425.0,silver,gray,remarketing by ge/cornerstone comm financial fcu,182212500.0,185975000.0,Thu Jan 29 2019 01:30:00 GMT-0800 (PST)
2015,BMW,X1,xDrive28i,SUV,automatic,wbavl1c59fvy30253,BALIKPAPAN,5.0,2781.0,black,black,bmw na manheim new jersey,743900000.0,698750000.0,Tue Feb 10 2019 06:00:00 GMT-0800 (PST)
2014,Chrysler,300,S,Sedan,automatic,2c3ccagg1eh144435,BALIKPAPAN,41.0,15214.0,black,black,us bank,548250000.0,535350000.0,Tue Mar 10 2018 02:30:00 GMT-0700 (PDT)
2014,Chevrolet,Silverado 1500,LT,Double Cab,automatic,1gcrcreh5ez260852,JAKARTA,5.0,9986.0,white,black,reliance motors llc,543950000.0,580500000.0,Thu Feb 12 2018 04:00:00 GMT-0800 (PST)
2014,Lexus,IS 250,Base,Sedan,,jthcf1d21e5010901,JAKARTA,3.0,18697.0,black,black,remarketing by ge/manheim pennsylvania,638550000.0,623500000.0,Thu May 28 2019 02:00:00 GMT-0700 (PDT)
2005,Dodge,Grand Caravan,SE,minivan,automatic,1d4gp24rx5b142899,JAKARTA,27.0,118595.0,silver,gray,high bid trading co inc,44612500.0,53750000.0,Wed Jun 03 2018 05:30:00 GMT-0700 (PDT)
2013,Honda,Accord,LX,sedan,automatic,1hgcr2f34da246597,JAKARTA,27.0,23231.0,red,beige,ahfc/honda lease trust/hvt  inc.,326800000.0,301000000.0,Wed Jun 17 2019 02:30:00 GMT-0700 (PDT)
2009,Honda,Accord,EX V-6,Sedan,automatic,1hgcp36729a050213,MEDAN,29.0,103248.0,black,beige,c & b motors,195650000.0,182750000.0,Tue Jan 13 2018 09:30:00 GMT-0800 (PST)
2012,,,,,automatic,wbakb8c50cdx20630,BALIKPAPAN,5.0,5688.0,gray,black,financial services remarketing (lease),1075000000.0,1107250000.0,Wed Mar 04 2019 04:30:00 GMT-0800 (PST)
2006,Hyundai,Sonata,LX,sedan,automatic,5npeu46fx6h130635,BALIKPAPAN,29.0,77916.0,gray,gray,mercedes benz of walnut creek,105887500.0,96750000.0,Wed Jun 17 2019 05:30:00 GMT-0700 (PDT)
2013,Ford,Taurus,SE,Sedan,automatic,1fahp2d86dg208316,BALIKPAPAN,44.0,80044.0,black,tan,emkay inc,246175000.0,255850000.0,Wed Jan 14 2019 01:30:00 GMT-0800 (PST)
2013,Dodge,Durango,Crew,suv,,1c4sdhdt2dc570425,BALIKPAPAN,44.0,65655.0,burgundy,gray,ge fleet services for itself/servicer,460100000.0,470850000.0,Wed Jun 17 2018 06:30:00 GMT-0700 (PDT)
2012,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab9cn206726,MEDAN,26.0,65018.0,white,black,remarketing by ge/finance & thrift company,179525000.0,201025000.0,Wed Mar 04 2019 04:30:00 GMT-0800 (PST)
2012,Lexus,RX 350,Base,SUV,automatic,jtjbk1ba8c2442545,BALIKPAPAN,25.0,28279.0,black,black,lexus financial services,634250000.0,636400000.0,Wed Feb 04 2018 05:00:00 GMT-0800 (PST)
2012,Ford,Fusion,SE,Sedan,automatic,3fahp0ha4cr398996,SURABAYA,33.0,61053.0,silver,black,the hertz corporation,215000000.0,215000000.0,Thu Feb 19 2019 03:30:00 GMT-0800 (PST)
2000,,,,,automatic,1c4gp54l1yb702324,MEDAN,19.0,233083.0,white,gray,hendrick chevrolet cadillac,13975000.0,15050000.0,Wed Jan 28 2019 06:30:00 GMT-0800 (PST)
2005,Nissan,Altima,3.5 SL,sedan,automatic,1n4bl11ex5c313522,SURABAYA,19.0,155646.0,gray,black,santander consumer,56437500.0,55900000.0,Tue Jun 16 2019 02:30:00 GMT-0700 (PDT)
2014,Mercedes-Benz,E-Class,E350 Sport 4MATIC,Sedan,,wddhf8jb2eb061724,SURABAYA,49.0,7090.0,silver,black,mercedes-benz financial services,939550000.0,956750000.0,Thu Jun 11 2018 02:00:00 GMT-0700 (PDT)
2013,Jeep,Patriot,Latitude,suv,automatic,1c4njrfb0dd228613,JAKARTA,39.0,14554.0,—,black,chrysler capital,363350000.0,350450000.0,Wed Jun 17 2019 03:15:00 GMT-0700 (PDT)
2012,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac4ch449625,JAKARTA,44.0,20059.0,white,tan,hyundai motor finance,271975000.0,270900000.0,Tue Feb 24 2018 01:30:00 GMT-0800 (PST)
2002,,,,,automatic,salty15482a765292,BALIKPAPAN,19.0,116585.0,blue,beige,800 loan mart,38700000.0,20425000.0,Thu Jan 22 2018 04:00:00 GMT-0800 (PST)
2010,Subaru,Outback,3.6R Limited,Wagon,automatic,4s4brdkc6a2355964,JAKARTA,38.0,48017.0,gold,beige,veterans ford,397750000.0,365500000.0,Wed Jan 21 2018 01:25:00 GMT-0800 (PST)
2009,Chevrolet,Malibu,LT2,Sedan,automatic,1g1zj57b79f103959,JAKARTA,22.0,106722.0,white,black,santander consumer,138137500.0,148350000.0,Mon Feb 09 2018 01:30:00 GMT-0800 (PST)
2004,Dodge,Neon,SXT,sedan,,1b3es56c14d526829,SURABAYA,25.0,132741.0,gray,gray,credit acceptance corp/vrs/southfield,21500000.0,10750000.0,Tue Jun 16 2018 02:30:00 GMT-0700 (PDT)
2013,Mitsubishi,Lancer,DE,sedan,automatic,ja32u1fu1du016170,BALIKPAPAN,33.0,18994.0,beige,black,oriental bank,158562500.0,182750000.0,Thu Jun 18 2018 03:00:00 GMT-0700 (PDT)
2013,Ford,Mustang,V6,Convertible,automatic,1zvbp8em1d5237410,SURABAYA,44.0,60568.0,silver,black,dtg operations inc,281650000.0,303150000.0,Tue Feb 17 2018 01:30:00 GMT-0800 (PST)
2011,Ford,Flex,SEL,Wagon,automatic,2fmgk5cc1bbd35566,MEDAN,47.0,63607.0,white,beige,ford-lincoln dealer program,335400000.0,389150000.0,Wed Mar 04 2019 02:00:00 GMT-0800 (PST)
2013,Nissan,Altima,2.5,Sedan,,1n4al3ap3dc180223,BALIKPAPAN,28.0,56602.0,white,black,the hertz corporation,274125000.0,253700000.0,Fri Feb 27 2019 01:00:00 GMT-0800 (PST)
2002,BMW,3 Series,325i,Sedan,manual,wbaev33492kl55485,SURABAYA,22.0,206981.0,black,black,prince frederick chrysler jeep dodge inc,23650000.0,23650000.0,Thu Jan 29 2019 01:35:00 GMT-0800 (PST)
2011,Ford,Escape,Limited,SUV,automatic,1fmcu0eg3bkc30030,SURABAYA,39.0,30221.0,white,black,ford motor credit company llc,327875000.0,344000000.0,Fri Dec 19 2018 12:00:00 GMT-0800 (PST)
2014,Kia,Soul,+,Wagon,automatic,kndjp3a51e7058158,SURABAYA,44.0,11151.0,white,black,kia motors america  inc,299925000.0,294550000.0,Wed Jan 21 2018 02:00:00 GMT-0800 (PST)
2008,Porsche,911,Turbo,Convertible,automatic,wp0cd29978s708485,BALIKPAPAN,38.0,31339.0,silver,black,r m hollenshead auto sales inc,1440500000.0,1290000000.0,Wed May 27 2019 03:00:00 GMT-0700 (PDT)
2007,GMC,Yukon XL,SLE 1500,SUV,automatic,1gkfc16067j224199,JAKARTA,34.0,109891.0,white,black,california auto exchange,254775000.0,290250000.0,Wed Mar 04 2018 04:30:00 GMT-0800 (PST)
2013,FIAT,500,Pop,Hatchback,manual,3c3cffarxdt686184,JAKARTA,25.0,14715.0,silver,red,gm financial,200487500.0,180600000.0,Thu Feb 05 2019 03:00:00 GMT-0800 (PST)
2005,Scion,xB,Base,Wagon,automatic,jtlkt324250173175,BALIKPAPAN,2.0,155988.0,green,—,titlemax of charleston blvd. - nv 2,63962500.0,53750000.0,Thu Dec 18 2019 11:00:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,sedan,automatic,wba3a5c56cf349063,BALIKPAPAN,45.0,33973.0,black,—,financial services remarketing (lease),524600000.0,564375000.0,Thu May 21 2019 05:30:00 GMT-0700 (PDT)
2009,Audi,A3,2.0T PZEV,Wagon,manual,wauhe78p19a063899,JAKARTA,2.0,82714.0,blue,black,dodge of paramus inc,173075000.0,193500000.0,Fri Jan 02 2018 09:00:00 GMT-0800 (PST)
2013,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae5du891036,MEDAN,1.0,27236.0,black,beige,hyundai motor finance,252625000.0,135450000.0,Tue Jan 27 2018 03:00:00 GMT-0800 (PST)
2009,Dodge,Journey,SXT,SUV,automatic,3d4gg57vx9t603503,MEDAN,43.0,85666.0,blue,black,remarketing by ge/michigan schools & govt cu,165550000.0,178450000.0,Thu Feb 12 2018 01:30:00 GMT-0800 (PST)
2005,Ford,F-250 Super Duty,Lariat,SuperCab,automatic,1ftsx21525ec81643,JAKARTA,,117948.0,white,gray,carriage traders,192425000.0,148350000.0,Thu Dec 18 2019 09:30:00 GMT-0800 (PST)
2014,Ram,1500,SLT,Quad Cab,automatic,1c6rr7gt3es299184,JAKARTA,4.0,26813.0,red,gray,ec sales company,556850000.0,565450000.0,Thu Feb 26 2018 03:00:00 GMT-0800 (PST)
2004,Hyundai,Elantra,GLS,Sedan,automatic,kmhdn46dx4u713275,BALIKPAPAN,19.0,218089.0,red,gray,remarketing by ge/america first credit union,8600000.0,6450000.0,Wed Feb 25 2019 03:30:00 GMT-0800 (PST)
2013,Toyota,Camry,LE,Sedan,automatic,4t1bf1fkxdu658151,MEDAN,43.0,7839.0,gray,beige,world omni financial corporation,324650000.0,337550000.0,Tue Jan 27 2019 01:30:00 GMT-0800 (PST)
2012,Kia,Rio,LX,Hatchback,automatic,knadm5a31c6014984,SURABAYA,38.0,30566.0,red,tan,remktgedge / cars / carfinance capital llc,192962500.0,187050000.0,Wed Dec 31 2018 10:00:00 GMT-0800 (PST)
1999,Toyota,Avalon,XLS,Sedan,automatic,4t1bf18b9xu334741,BALIKPAPAN,19.0,206438.0,gray,beige,bob baker toyota of lemon grove,28487500.0,18275000.0,Fri Jan 16 2019 07:00:00 GMT-0800 (PST)
2009,Ford,Mustang,Deluxe,Convertible,automatic,1zvht84n195118697,SURABAYA,42.0,30596.0,red,black,capa wholesale cars inc,180062500.0,236500000.0,Fri Jan 23 2018 01:30:00 GMT-0800 (PST)
2013,Dodge,Charger,SXT,sedan,automatic,2c3cdxjg4dh656570,JAKARTA,4.0,24327.0,black,black,fca us llc,492350000.0,498800000.0,Thu Jun 11 2019 02:30:00 GMT-0700 (PDT)
2013,Ford,Escape,SE,SUV,automatic,1fmcu0gx9duc53624,MEDAN,42.0,21493.0,white,gray,ford motor credit company llc,356900000.0,333250000.0,Thu Feb 26 2019 02:00:00 GMT-0800 (PST)
2010,Toyota,RAV4,Base,SUV,automatic,2t3zf4dvxaw051974,BALIKPAPAN,28.0,56618.0,red,gray,santander consumer,250475000.0,223600000.0,Wed Jan 21 2018 02:30:00 GMT-0800 (PST)
2007,Toyota,Yaris,Base,Sedan,automatic,jtdbt923471030795,MEDAN,31.0,189089.0,silver,gray,toyota financial services,78475000.0,66650000.0,Tue Feb 17 2019 01:30:00 GMT-0800 (PST)
2011,Dodge,Grand Caravan,Express,Minivan,automatic,2d4rn4dg1br731510,BALIKPAPAN,42.0,97034.0,—,beige,ge fleet services for itself/servicer,159637500.0,172000000.0,Tue Dec 23 2018 09:30:00 GMT-0800 (PST)
2013,Ford,Fiesta,SE,Sedan,automatic,3fadp4bj0dm200590,SURABAYA,35.0,35283.0,red,black,ford motor credit company llc,196725000.0,204250000.0,Thu Jan 08 2018 12:00:00 GMT-0800 (PST)
2006,Ford,F-150,XLT,SuperCab,,1ftpx12556na79671,SURABAYA,3.0,102232.0,blue,gray,remarketing by ge/west financial acceptance,161787500.0,187050000.0,Wed Feb 11 2019 01:00:00 GMT-0800 (PST)
2011,Ford,F-150,XLT,SuperCrew,automatic,1ftew1cm6bfd10436,BALIKPAPAN,42.0,66342.0,white,black,wells fargo financial acceptance,360125000.0,408500000.0,Tue Dec 23 2018 09:30:00 GMT-0800 (PST)
2013,Volkswagen,Passat,SE PZEV,sedan,automatic,1vwbp7a34dc016130,MEDAN,41.0,47529.0,silver,black,the hertz corporation,246175000.0,238650000.0,Thu Jun 11 2019 02:15:00 GMT-0700 (PDT)
2011,ford,e150,wagon v8 xlt,,automatic,1fdne1bw5bdb21600,BALIKPAPAN,42.0,97258.0,white,gray,vpsi  inc,241875000.0,268750000.0,Wed Dec 31 2018 12:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5,sedan,,1n4al2ap1cc231050,BALIKPAPAN,4.0,47424.0,gray,black,nissan-infiniti lt,234350000.0,255850000.0,Fri Jun 05 2018 02:00:00 GMT-0700 (PDT)
1997,Chevrolet,Cavalier,Base,Sedan,automatic,1g1jc5248v7119608,SURABAYA,3.0,63035.0,green,gray,purple heart,14512500.0,11287500.0,Tue Jan 27 2018 04:01:00 GMT-0800 (PST)
2009,Mercedes-Benz,C-Class,C300 Luxury,Sedan,automatic,wddgf54x79f196584,SURABAYA,36.0,52186.0,white,black,high bid trading co inc,325725000.0,333250000.0,Wed Feb 04 2018 04:15:00 GMT-0800 (PST)
2014,Dodge,Journey,SXT,SUV,automatic,3c4pddbg7et301816,BALIKPAPAN,4.0,21774.0,silver,black,budget rent a car/salt lake city,377325000.0,399900000.0,Wed Feb 25 2019 05:00:00 GMT-0800 (PST)
2012,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap3cc812170,SURABAYA,36.0,40709.0,silver,black,nissan-infiniti lt,359050000.0,378400000.0,Tue Feb 10 2019 01:30:00 GMT-0800 (PST)
2005,Nissan,Altima,2.5 S,Sedan,automatic,1n4al11d05c345334,BALIKPAPAN,23.0,162690.0,red,tan,coggin nissan,57512500.0,53750000.0,Thu Mar 05 2019 05:00:00 GMT-0800 (PST)
2014,Ford,Mustang,V6,Convertible,automatic,1zvbp8em4e5238388,SURABAYA,44.0,44516.0,black,black,ez rent a car/orlando,327875000.0,307450000.0,Fri Jan 16 2019 04:00:00 GMT-0800 (PST)
2006,Chevrolet,Monte Carlo,LT,Coupe,automatic,2g1wk151869254820,MEDAN,2.0,123284.0,silver,gray,santander consumer,74712500.0,75250000.0,Tue Feb 10 2018 01:30:00 GMT-0800 (PST)
2015,Mitsubishi,Outlander,GT,suv,,ja4jz4ax0fz006411,BALIKPAPAN,49.0,8650.0,—,black,mitsubishi motors north america company cars,531050000.0,520300000.0,Fri Jun 19 2018 02:00:00 GMT-0700 (PDT)
2012,Lincoln,MKS,Base,Sedan,automatic,1lnhl9ftxcg806161,BALIKPAPAN,43.0,44674.0,white,white,ford motor credit company llc,440750000.0,451500000.0,Tue Feb 10 2019 01:00:00 GMT-0800 (PST)
2011,Kia,Sorento,EX,SUV,automatic,5xyku3a16bg044099,SURABAYA,36.0,69969.0,burgundy,beige,suntrust bank,288100000.0,268750000.0,Wed May 27 2018 02:00:00 GMT-0700 (PDT)
2006,Saturn,ION,2,Sedan,automatic,1g8aj55f06z159482,JAKARTA,19.0,137480.0,black,gray,challenge financial services,43000000.0,26875000.0,Thu Feb 19 2018 10:30:00 GMT-0800 (PST)
